1|1
2|15
1|14
11|10
5|9
13|12
9|3
6|19
15|21
4|22
7|17
9|16
6|6
7|4
2|2
1|29
8|13
3|18
9|31
16|24
17|28
11|26
13|40
2|30
14|20
1|42
5|25
9|44
7|45
3|33
11|38
12|27
2|43
3|46
7|32
1|56
3|60
13|68
9|58
1|71
12|52
9|73
7|59
11|67
7|74
2|57
4|63
3|75
1|89
2|90
9|91
11|51
3|93
7|92
2|72
1|106
1|122
3|110
7|109
19|104
7|125
4|114
9|108
2|107
2|123
9|124
3|126
1|146
11|133
9|148
3|150
7|149
2|147
1|162
12|160
16|156
6|151
9|164
1|174
2|163
11|159
9|176
7|165
1|186
3|178
11|172
9|188
7|189
2|175
3|166
7|177
4|193
3|190
8|198
2|187
12|197
14|192
1|203
9|205
1|220
11|212
7|206
2|221
2|204
19|202
1|237
9|239
9|222
7|240
7|223
2|238
1|255
1|274
2|256
2|275
9|276
9|257
7|277
30|286
1|296
6|279
9|298
7|299
7|258
2|297
1|313
2|314
9|315
7|316
11|326
1|339
9|341
2|340
7|342
15|347
1|367
9|369
2|368
7|370
1|390
9|392
7|393
2|391
6|395
2|424
9|425
7|426
1|423
11|431
1|435
7|438
6|440
11|444
12|446
1|450
19|449
3|439
2|436
29|445
8|447
16|443
9|437
1|465
9|467
7|453
2|451
7|468
9|452
3|469
2|466
26|471
11|475
12|476
8|479
19|482
7|486
10|474
3|487
42|478
16|490
12|492
14|470
43|481
8|493
28|494
2|484
4|489
1|496
28|480
2|497
7|499
1|483
9|485
13|477
11|491
9|498
19|495
1|517
46|506
2|518
22|502
9|519
7|520
6|522
22|523
46|528
13|530
49|535
6|556
1|551
2|552
9|553
7|554
1|573
2|574
6|578
7|576
9|575
2|599
9|600
1|598
13|609
7|601
19|617
22|604
28|611
19|614
19|613
5|606
3|602
6|603
19|612
19|619
33|610
19|621
11|608
19|618
14|605
19|623
19|620
19|624
19|626
1|630
48|607
19|625
9|632
19|622
6|635
19|628
11|639
19|629
3|634
51|641
19|615
7|633
19|627
2|631
22|636
14|637
19|644
19|645
19|647
17|642
19|646
13|640
19|650
28|643
19|649
19|616
19|648
48|638
6|664
7|662
9|661
19|654
19|652
19|657
19|653
3|663
13|669
28|670
22|665
12|668
19|651
19|655
19|672
1|659
19|673
19|675
15|666
11|667
19|671
2|660
19|658
19|656
19|676
19|680
19|681
19|685
19|686
19|682
19|691
19|684
19|689
19|677
19|678
19|679
19|683
19|697
19|687
19|698
19|692
19|694
19|695
19|688
19|696
19|690
19|693
19|699
1|700
19|674
2|701
3|704
19|716
22|706
14|707
19|713
52|708
19|718
51|712
9|702
7|703
13|711
11|709
19|719
19|714
19|722
19|721
19|720
19|723
19|715
19|726
19|717
12|710
6|705
19|727
19|728
19|732
19|731
19|725
1|736
3|740
19|729
19|724
19|730
19|735
2|737
19|734
7|739
9|738
19|733
2|770
1|769
9|771
7|772
11|779
7|789
3|773
19|783
1|786
13|781
9|788
2|799
9|800
1|798
2|787
1|814
2|815
3|818
7|817
6|819
7|801
9|816
22|820
1|856
2|857
9|858
1|890
2|891
9|892
7|893
2|936
9|937
1|935
7|938
2|973
9|974
7|975
6|977
1|972
1|997
7|1000
2|998
9|999
6|1002
7|1037
9|1036
1|1034
48|1043
2|1035
6|1039
19|1074
9|1077
6|1080
1|1075
7|1078
2|1076
19|1066
1|1111
